id,name,host_id,location,neighbourhood,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,review_scores_rating,cancellation_policy
879929,Surround yourself with custom art!,4653380,"Ashfield Street, Roslindale, MA 02131, United States",Roslindale,2131,42.29151999,-71.13185777,Apartment,Private room,2,1,1,1,$90.00,1,95,strict
9218312,Sunny bedroom with private bathroom,47935411,"Fairview Street, Boston, MA 02131, United States",Roslindale,2131,42.28907107,-71.12823296,House,Private room,2,1,1,1,$95.00,2,99,moderate
321328,Bright Room Near Roslindale Village,8302344,"Selwyn St, Boston, MA 02131, United States",Roslindale,2131,42.29223824,-71.13449706,Apartment,Private room,2,1,1,2,$100.00,1,90,flexible
1810172,Room for 2 in Rozzie - Full Bath,8834105,"Durnell Avenue, Boston, MA 02131, United States",Roslindale,2131,42.28208581,-71.13334868,House,Private room,2,1,1,1,$67.00,1,96,flexible
6513924,Private room in spacious condo!,16398126,"Hyde Park Avenue, Boston, MA 02131, United States",Roslindale,2131,42.28456151,-71.11972634,Condominium,Private room,1,1,1,1,$55.00,1,92,flexible
7093109,Adorable  Apt. 20 min from Downtown,37177446,"Hyde Park Avenue, Boston, MA 02131, United States",Roslindale,2131,42.27696862,-71.11775586,Apartment,Entire home/apt,6,1,2,2,$200.00,2,100,strict
14690527,1 Bedroom Home Suite Home,28472710,"Conway Street, Boston, MA 02131, United States",Roslindale,2131,42.28922069,-71.13071327,Apartment,Entire home/apt,4,1,1,2,$150.00,1,,flexible
7086825,Private Room near public transport,34552909,"Brook Street, Boston, MA 02131, United States",Roslindale,2131,42.28228163,-71.11681747,House,Private room,1,1,1,1,$49.00,5,98,strict
1861070,Charming Gambrel on a sweet street,8879967,"Granada Avenue, Boston, MA 02131, United States",Roslindale,2131,42.27691292,-71.12823284,House,Private room,1,1.5,1,1,$75.00,1,96,flexible
4283698,Private 1 bedroom w/ kitchenette,333210,"Fletcher Street, Boston, MA 02131, United States",Roslindale,2131,42.28967076,-71.13728641,House,Entire home/apt,4,1,1,2,$110.00,3,87,strict
10116095,Comfortable & Clean - Boston,1229092,"Sheffield Road, Boston, MA 02131, United States",Roslindale,2131,42.28960322,-71.13336749,Apartment,Private room,2,1,1,1,$115.00,1,,strict
8548176,Charming 3 bedroom-15 min to Boston,6570877,"Kittredge Street, Boston, MA 02131, United States",Roslindale,2131,42.2791761,-71.1327718,House,Entire home/apt,16,1,3,5,$125.00,1,91,strict
